houseNumber,streetName,countedRentalUnits,countedHomeownershipUnits,allCountedUnits,totalBuildingUnits,baseSquareFootage,councilDistrict,postcode,reportingConstructionType,Ratio
310,EAST 2 STREET,0,0,0,135,13622,2,10009,New Construction,0:0
507,WEST 28 STREET,0,0,0,375,17284,3,10001,New Construction,0:0
202,EAST 39 STREET,0,0,0,91,6392,4,10016,New Construction,0:0
331,EAST HOUSTON STREET,0,0,0,78,4984,2,10002,New Construction,0:0
855,AVENUE OF THE AMERICAS,0,0,0,375,32929,3,10001,New Construction,0:0
160,MADISON AVENUE,0,0,0,319,17395,4,10016,New Construction,0:0
1265,PARK AVENUE,10,0,10,10,0,5,10029,Preservation,10:0
203,EAST 92 STREET,0,0,0,231,11313,5,10128,New Construction,0:0
460,MAIN STREET,341,0,341,341,1,5,10044,New Construction,341:0
710,EAST 11 STREET,0,0,0,16,0,2,10009,Preservation,0:0
162,AVENUE C,0,0,0,158,0,2,10009,Preservation,0:0
711,EAST 11 STREET,0,0,0,72,0,2,10009,Preservation,0:0
411,EAST 11 STREET,0,0,0,188,0,2,10009,Preservation,0:0
